Item Name,Price,Shipping costs,Link,What is it:,Price With Tax
Dell Latitude 5501 Motherboard I7-9850H N17S-G1-B-KB-A1 2G 0M0K66,$60.90,$0.00,https://www.ebay.com/itm/156048152805?_skw=dell+5501+motherboard+i7-9850H&itmmeta=01JY5QQ73JWNG22J9KG7ZA05YJ&hash=item245531d8e5:g:NvQAAOSw91BlwrPv&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1dMOo4JIy4REyW4guRyToET6VisvgtcaMpKfuN8%2BqESOBqJRhDxP%2FrDI8HT4wJB9fJkQ2ugD0YE1YhS9DKOmp6zoqcWRpscKU3xdo%2BDmzneZMed0xJyEuH1dlW09yNz3jNia2GtSmDQfoRupgN4CDuoLSjCVuHquQ4qnSyHQT%2BN6Nbj5A5WcLrV%2FXxQ22EKXVxjR2HaoWoFXO%2Bwkhbh2oKZvK7gQi76i%2FIhcKHDu0I47sQ%2Bb0n%2FSJERzQPlboqLoXwT4L3pWfG2OPQPPYY7uvgt%2BDo4dZPRLfMXs97J8%2BlFFAfSB1ki31DpkTWQVLEqtFQ%3D%7Ctkp%3ABFBM-PHct_Fl,Laptop motherboard w/cpu and igpu,$65.16
2x8 (16GB) SKHynix Samsung SODIMM DDR4 2666Mhz - 3200Mhz,$13.49,$4.33,https://www.ebay.com/itm/267287335425,Ram,$14.43
Internal Solid State Drive 1/2/4TB 970 EVO Plus PCIe 4.0 NVMe M.2 Hard Drive SSD,$35.99,$0.00,https://www.ebay.com/itm/226766133587,Storage,$38.51
OEM DELL 65W AC Adapter Charger 7.4mm Latitude 5404 5414 E5440 E5450 E5470 E5570,$7.00,$0.00,https://www.ebay.com/itm/275907605105,Power/Charger,$7.49
Windows 11 Home Retail,$9.90,$0.00,https://www.productkeys.com/product/windows-11-home-retail/?utm_source=Google%20Shopping&utm_campaign=BuyKeys-GoogleFeed&utm_medium=cpc&utm_term=160147&gad_source=1&gad_campaignid=19420908395&gbraid=0AAAAACuOYnhLi5gzY4jZGUvY4rbWWR4s6&gclid=CjwKCAjw6s7CBhACEiwAuHQckrRlG0TEb4Svy7Mupf993Amop5zxIi94Afva_Ks2UzM43uH9kqRm5hoCc5IQAvD_BwE,Windows Key,$10.59
SanDisk Cruzer Glide 32GB Flash Drive USB 3.0 Flash Drive Thumb Memory Pen,$6.99,$0.00,https://www.ebay.com/itm/193799765600,USB FLash Drive for Windows Install,$7.48
"Cardboard Box (free, from my own home)",$0.00,$0.00,,,$0.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,$134.27,$4.33,,,$148.00
